-3.0   0.0
-1.0   0.0
-0.99 -0.000246714
-0.98 -0.000986625
-0.97 -0.002219
-0.96 -0.00394263
-0.95 -0.0061558
-0.94 -0.00885634
-0.93 -0.0120416
-0.92 -0.0157084
-0.91 -0.0198531
-0.9 -0.0244717
-0.89 -0.0295596
-0.88 -0.0351117
-0.87 -0.0411226
-0.86 -0.0475864
-0.85 -0.0544967
-0.84 -0.0618466
-0.83 -0.0696289
-0.82 -0.077836
-0.81 -0.0864596
-0.8 -0.0954914
-0.79 -0.104922
-0.78 -0.114743
-0.77 -0.124944
-0.76 -0.135516
-0.75 -0.146447
-0.74 -0.157726
-0.73 -0.169344
-0.72 -0.181288
-0.71 -0.193546
-0.7 -0.206107
-0.69 -0.218958
-0.68 -0.232087
-0.67 -0.245479
-0.66 -0.259123
-0.65 -0.273005
-0.64 -0.28711
-0.63 -0.301426
-0.62 -0.315938
-0.61 -0.330631
-0.6 -0.345491
-0.59 -0.360504
-0.58 -0.375655
-0.57 -0.390928
-0.56 -0.406309
-0.55 -0.421783
-0.54 -0.437333
-0.53 -0.452946
-0.52 -0.468605
-0.51 -0.484295
-0.5 -0.5
-0.49 -0.515705
-0.48 -0.531395
-0.47 -0.547054
-0.46 -0.562667
-0.45 -0.578217
-0.44 -0.593691
-0.43 -0.609072
-0.42 -0.624345
-0.41 -0.639495
-0.4 -0.654508
-0.39 -0.669369
-0.38 -0.684062
-0.37 -0.698574
-0.36 -0.71289
-0.35 -0.726995
-0.34 -0.740877
-0.33 -0.754521
-0.32 -0.767913
-0.31 -0.781042
-0.3 -0.793893
-0.29 -0.806453
-0.28 -0.818712
-0.27 -0.830656
-0.26 -0.842274
-0.25 -0.853553
-0.24 -0.864484
-0.23 -0.875056
-0.22 -0.885257
-0.21 -0.895077
-0.2 -0.904508
-0.19 -0.91354
-0.18 -0.922164
-0.17 -0.930371
-0.16 -0.938153
-0.15 -0.945503
-0.14 -0.952414
-0.13 -0.958877
-0.12 -0.964888
-0.11 -0.97044
-0.1 -0.975528
-0.09 -0.980147
-0.08 -0.984292
-0.07 -0.987958
-0.06 -0.991144
-0.05 -0.993844
-0.04 -0.996057
-0.03 -0.997781
-0.02 -0.999013
-0.01 -0.999753
7.5287e-16 -1
0.01 -0.999753
0.02 -0.999013
0.03 -0.997781
0.04 -0.996057
0.05 -0.993844
0.06 -0.991144
0.07 -0.987958
0.08 -0.984292
0.09 -0.980147
0.1 -0.975528
0.11 -0.97044
0.12 -0.964888
0.13 -0.958877
0.14 -0.952414
0.15 -0.945503
0.16 -0.938153
0.17 -0.930371
0.18 -0.922164
0.19 -0.91354
0.2 -0.904508
0.21 -0.895077
0.22 -0.885257
0.23 -0.875056
0.24 -0.864484
0.25 -0.853553
0.26 -0.842274
0.27 -0.830656
0.28 -0.818712
0.29 -0.806453
0.3 -0.793893
0.31 -0.781042
0.32 -0.767913
0.33 -0.754521
0.34 -0.740877
0.35 -0.726995
0.36 -0.71289
0.37 -0.698574
0.38 -0.684062
0.39 -0.669369
0.4 -0.654508
0.41 -0.639495
0.42 -0.624345
0.43 -0.609072
0.44 -0.593691
0.45 -0.578217
0.46 -0.562667
0.47 -0.547054
0.48 -0.531395
0.49 -0.515705
0.5 -0.5
0.51 -0.484295
0.52 -0.468605
0.53 -0.452946
0.54 -0.437333
0.55 -0.421783
0.56 -0.406309
0.57 -0.390928
0.58 -0.375655
0.59 -0.360504
0.6 -0.345491
0.61 -0.330631
0.62 -0.315938
0.63 -0.301426
0.64 -0.28711
0.65 -0.273005
0.66 -0.259123
0.67 -0.245479
0.68 -0.232087
0.69 -0.218958
0.7 -0.206107
0.71 -0.193546
0.72 -0.181288
0.73 -0.169344
0.74 -0.157726
0.75 -0.146447
0.76 -0.135516
0.77 -0.124944
0.78 -0.114743
0.79 -0.104922
0.8 -0.0954914
0.81 -0.0864596
0.82 -0.077836
0.83 -0.0696289
0.84 -0.0618466
0.85 -0.0544967
0.86 -0.0475864
0.87 -0.0411226
0.88 -0.0351117
0.89 -0.0295596
0.9 -0.0244717
0.91 -0.0198531
0.92 -0.0157084
0.93 -0.0120416
0.94 -0.00885634
0.95 -0.0061558
0.96 -0.00394263
0.97 -0.002219
0.98 -0.000986625
0.99 -0.000246714
1.0   0.0
5.0   0.0
