 0.0000000000000000e+00 dof=0     VX_0 n=1     x=7.74597    y=0           0.0000000000000000e+00
 0.0000000000000000e+00 dof=1     VY_0 n=1     x=7.74597    y=0           0.0000000000000000e+00
 9.0598908018798374e-01 dof=2     DMX_0 n=1     x=7.74597    y=0           7.8750192712168508e-13
-6.9076932483723485e-02 dof=3     DMY_0 n=1     x=7.74597    y=0          -2.2276713738105139e-09
-4.4955814934592257e+02 dof=4      P_0 n=1     x=7.74597    y=0          -2.5674945766296538e-13
-2.7374712482385846e-03 dof=5      K_0 n=1     x=7.74597    y=0          -1.1801960437192497e-15
 9.9989637079576605e+03 dof=6     TENS_0 n=1     x=7.74597    y=0           2.0958381396726958e-13
-1.0007375369898044e+02 dof=7     VX_0 n=2     x=5          y=0           5.2849283176214779e-12
 5.4526869934065381e-01 dof=8     VY_0 n=2     x=5          y=0           1.5754411881091619e-10
 1.1125464783775212e+00 dof=9     DMX_0 n=2     x=5          y=0          -3.9670554241030915e-12
-6.4933240726829280e-02 dof=10    DMY_0 n=2     x=5          y=0           9.6455769879229579e-09
-1.9546114944626015e+02 dof=11     P_0 n=2     x=5          y=0          -4.0809913000670104e-12
-2.5759655144021974e-03 dof=12     K_0 n=2     x=5          y=0           2.9538584819907025e-16
 1.0011933281505695e+04 dof=13    TENS_0 n=2     x=5          y=0          -9.1643608351601599e-14
-1.2434218736394054e+02 dof=14    VX_0 n=3     x=7.19677    y=0           1.2777679789622031e-13
-1.0528816123041354e-01 dof=15    VY_0 n=3     x=7.19677    y=0          -5.9497777351435452e-14
 1.0719143332985599e+00 dof=16    DMX_0 n=3     x=7.19677    y=0           3.6368501437539458e-13
-6.9589529635032427e-02 dof=17    DMY_0 n=3     x=7.19677    y=0          -9.5585202325933818e-09
-3.7573390233348977e+02 dof=18     P_0 n=3     x=7.19677    y=0          -6.2859737161714289e-14
-2.7756346779990843e-03 dof=19     K_0 n=3     x=7.19677    y=0           2.2687491588765378e-16
 9.8984014786878961e+03 dof=20    TENS_0 n=3     x=7.19677    y=0          -1.1911990147586451e-13
-9.3884764080617018e+01 dof=21    VX_0 n=4     x=6.64758    y=0           9.0572787107034754e-13
 5.2395119464945919e-02 dof=22    VY_0 n=4     x=6.64758    y=0           1.8256281446368880e-12
 1.1590916038439847e+00 dof=23    DMX_0 n=4     x=6.64758    y=0          -5.4964563132874845e-13
-6.9666344903583172e-02 dof=24    DMY_0 n=4     x=6.64758    y=0          -8.5711039589954853e-09
-2.2022030229008234e+02 dof=25     P_0 n=4     x=6.64758    y=0          -2.6757252487783826e-14
-2.7824220818103438e-03 dof=26     K_0 n=4     x=6.64758    y=0          -1.5622101496261179e-17
 1.0018393880256070e+04 dof=27    TENS_0 n=4     x=6.64758    y=0          -1.0706819628552280e-13
-1.0157274145640112e+02 dof=28    VX_0 n=5     x=6.09839    y=0           2.1390246491734504e-12
 1.9828648878561991e-01 dof=29    VY_0 n=5     x=6.09839    y=0           2.5005238517363194e-11
 1.1832310578241378e+00 dof=30    DMX_0 n=5     x=6.09839    y=0          -1.7201049450171045e-12
-6.9034302753980384e-02 dof=31    DMY_0 n=5     x=6.09839    y=0          -7.7500871887901108e-09
-2.3295485922898354e+02 dof=32     P_0 n=5     x=6.09839    y=0          -6.5817784863981397e-13
-2.7519543101523001e-03 dof=33     K_0 n=5     x=6.09839    y=0          -4.8200949431371594e-17
 9.9688111406184908e+03 dof=34    TENS_0 n=5     x=6.09839    y=0          -1.1306648144724772e-13
-9.9597955576947300e+01 dof=35    VX_0 n=6     x=5.54919    y=0           3.3872822363917797e-12
 3.3757406781371868e-01 dof=36    VY_0 n=6     x=5.54919    y=0           1.1533177573222177e-10
 1.1643030394422516e+00 dof=37    DMX_0 n=6     x=5.54919    y=0          -2.8823964926433140e-12
-6.7498079789121590e-02 dof=38    DMY_0 n=6     x=5.54919    y=0          -6.5950629397334949e-09
-2.0957011660974632e+02 dof=39     P_0 n=6     x=5.54919    y=0          -2.3647671115308834e-12
-2.6824683402302367e-03 dof=40     K_0 n=6     x=5.54919    y=0          -6.1594449947161363e-17
 1.0066600418473443e+04 dof=41    TENS_0 n=6     x=5.54919    y=0          -1.8293588935247739e-14
 0.0000000000000000e+00 dof=42    VX_0 n=7     x=7.74597    y=4           0.0000000000000000e+00
 0.0000000000000000e+00 dof=43    VY_0 n=7     x=7.74597    y=4           0.0000000000000000e+00
 3.0237733458336185e+00 dof=44    DMX_0 n=7     x=7.74597    y=4           2.3958351843412732e-16
 5.5013635386600967e-13 dof=45    DMY_0 n=7     x=7.74597    y=4          -3.7792290764223034e-16
-2.9565898172691425e+02 dof=46     P_0 n=7     x=7.74597    y=4          -1.3341539429627360e-13
-4.6777510890826342e+01 dof=47    VX_0 n=8     x=7.83711    y=0.393837   -2.8269496630824306e-14
-2.6312818568831990e+01 dof=48    VY_0 n=8     x=7.83711    y=0.393837    7.2669115773496529e-14
 1.1482020179578034e+00 dof=49    DMX_0 n=8     x=7.83711    y=0.393837   -4.8694501152210903e-14
-1.8285389207814604e-01 dof=50    DMY_0 n=8     x=7.83711    y=0.393837   -2.2971129143739711e-13
-3.2788273855908096e+02 dof=51     P_0 n=8     x=7.83711    y=0.393837   -1.8090045239377081e-12
-3.5787629326884030e+01 dof=52    VX_0 n=9     x=7.90824    y=0.791776    3.9560650262188876e-15
-2.6375041073223496e+01 dof=53    VY_0 n=9     x=7.90824    y=0.791776   -2.7469585081498351e-14
 1.4205297554762795e+00 dof=54    DMX_0 n=9     x=7.90824    y=0.791776   -1.5705435197639689e-14
-3.0918762210253037e-01 dof=55    DMY_0 n=9     x=7.90824    y=0.791776   -2.2485998269331622e-13
-3.0162586511633162e+02 dof=56     P_0 n=9     x=7.90824    y=0.791776    3.5181179478457703e-13
-2.9023080011262028e+01 dof=57    VX_0 n=10    x=7.95917    y=1.1928      4.7041215125894327e-14
-2.3313112827221168e+01 dof=58    VY_0 n=10    x=7.95917    y=1.1928     -7.6306204431918266e-14
 1.6981653072515026e+00 dof=59    DMX_0 n=10    x=7.95917    y=1.1928      1.8837507918572429e-14
-3.9151037093542063e-01 dof=60    DMY_0 n=10    x=7.95917    y=1.1928     -1.2058387419721126e-13
-2.9441995705403696e+02 dof=61     P_0 n=10    x=7.95917    y=1.1928      5.6933799853919624e-13
-1.9037536746607923e+01 dof=62    VX_0 n=11    x=7.98979    y=1.59588     8.0902479175496942e-14
-2.2183231978981222e+01 dof=63    VY_0 n=11    x=7.98979    y=1.59588    -8.7153608732989504e-14
 1.9610339378908546e+00 dof=64    DMX_0 n=11    x=7.98979    y=1.59588     3.5963647137763455e-14
-4.2669565913329227e-01 dof=65    DMY_0 n=11    x=7.98979    y=1.59588    -5.5016842509049704e-14
-2.9446925393847835e+02 dof=66     P_0 n=11    x=7.98979    y=1.59588     4.2450883784912571e-13
-1.7062296535818930e+01 dof=67    VX_0 n=12    x=8          y=2           6.9303637401272742e-14
-1.6807948359945168e+01 dof=68    VY_0 n=12    x=8          y=2          -7.9865407013810296e-14
 2.2151685967451127e+00 dof=69    DMX_0 n=12    x=8          y=2           2.9108922192049847e-14
-4.2537208380128766e-01 dof=70    DMY_0 n=12    x=8          y=2          -4.5910532119045752e-14
-2.8931735759862914e+02 dof=71     P_0 n=12    x=8          y=2           1.8493101797605024e-13
-7.4606132111300054e+00 dof=72    VX_0 n=13    x=7.98979    y=2.40412     9.6033710689570552e-14
-1.5008035904942309e+01 dof=73    VY_0 n=13    x=7.98979    y=2.40412    -9.3794712383077413e-14
 2.4324233076232038e+00 dof=74    DMX_0 n=13    x=7.98979    y=2.40412     4.1280573593000456e-14
-3.8434165818224142e-01 dof=75    DMY_0 n=13    x=7.98979    y=2.40412    -1.9938102667122369e-14
-2.9326151417341953e+02 dof=76     P_0 n=13    x=7.98979    y=2.40412     2.6796791621530371e-13
-1.0677759726287725e+01 dof=77    VX_0 n=14    x=7.95917    y=2.8072      7.5394373574164492e-14
-9.0307016981236057e+00 dof=78    VY_0 n=14    x=7.95917    y=2.8072     -8.0902502708984250e-14
 2.6372358876522171e+00 dof=79    DMX_0 n=14    x=7.95917    y=2.8072      2.3580599889968537e-14
-3.1789218660972995e-01 dof=80    DMY_0 n=14    x=7.95917    y=2.8072     -2.1223248166662081e-14
-2.8785339124015053e+02 dof=81     P_0 n=14    x=7.95917    y=2.8072      4.1142824311976500e-14
