x,y
0.021572181938035756,0.08387786340599535
0.04016621150767505,0.08526700226048897
0.058760241077314396,0.08733455776485158
0.07735427064695369,0.09038743268926198
0.09425793389208034,0.09392130142892341
0.10862604765043801,0.09776117556224266
0.12130379508428299,0.10170822209149737
0.13229117619361533,0.10557911981311374
0.14243337414069132,0.10969538591489812
0.15173038892551097,0.11384126544187521
0.16018222054807432,0.11795160885862108
0.16863405217063762,0.12215671523598355
0.17624070063094469,0.12636774429838454
0.18300216592899535,0.13023229628603106
0.19060881438930236,0.13470096214760852
0.1982154628496093,0.13884980301710487
0.20497692814765997,0.14271435500475138
0.21173839344571063,0.14666774726797593
0.22385268543805145,0.1511739234681308
0.22695169036632465,0.15284214642065252
