x,y
0.015199339458921352,0.024838652201457062
0.033793369028560644,0.024838652201457062
0.05238739859820002,0.024838652201457062
0.07098142816783937,0.024838652201457062
0.08957545773747866,0.024838652201457062
0.108169487307118,0.024838652201457062
0.12676426526798712,0.02488711053359055
0.14536029054757277,0.025016332752613224
0.16395432011721212,0.025016332752613224
0.1825483496868514,0.025016332752613224
0.20114237925649076,0.025016332752613224
0.2197359098986435,0.024984027197857556
0.2383304383957694,0.025016332752613224
0.2569244679654087,0.025016332752613224
0.27551849753504803,0.025016332752613224
0.2941125271046874,0.025016332752613224
0.3127058082830969,0.024967874420479735
0.3313005862439661,0.025016332752613224
0.34989461581360537,0.025016332752613224
0.36848864538324466,0.025016332752613224
0.38708267495288406,0.025016332752613224
0.40567670452252336,0.025016332752613224
0.42427173194713574,0.025080943862124533
0.4428675077629781,0.025194013303769386
0.4614615373326174,0.025194013303769386
0.4800565647572299,0.025258624413280695
0.49865109325435586,0.02529092996803639
0.5172428526344427,0.025143935194517214
0.535838478772039,0.02524731296973534
0.5544307869723611,0.025135854306447408
0.57302440489208,0.025109199974083563
0.5916217273831306,0.025322416635470968
0.6102154951200722,0.025305462968295528
0.628803063648249,0.02488711053359055
0.6473965942904016,0.024854804978834882
0.6659903743962977,0.024838652201457062
0.684584403965937,0.024838652201457062
0.7031804292455227,0.024967874420479735
0.7217752072063919,0.025016332752613224
0.7403712324859775,0.025145554971635897
0.7589660104468466,0.025194013303769386
0.7775610378714591,0.025258624413280695
0.7961605556434508,0.02561398551559302
0.814763316444105,0.026179332723817172
0.8333660772447595,0.026744679932041354
0.8519790660588886,0.02797229101275664
0.8705982914666,0.029603721527917737
0.8883819380661713,0.031857033972125415
0.9002783026901058,0.03598810678650616
0.9079487515027582,0.0401191796008869
0.9151163437748804,0.044525657269559704
0.9189289979490327,0.050602332119100396
0.9200154790747126,0.055281253299545974
0.922194752758777,0.05957519995248653
0.9239582951146539,0.06431334798331748
0.9263210576973642,0.06954307887234717
0.9270669043970436,0.07405616487171365
0.929679974742039,0.0790756404418752
0.9305864885655826,0.0830468007602154
0.9323392374568333,0.08708607195649878
0.9344540247632582,0.09267708663287931
0.9375356503840824,0.0952001504592968
